PROGRAMA;CONCURSO;FOLIO;ANOPOSTULACION;ANO FALLO;RESPONSABLE PROYECTO;SEXO_RESPONSABLE;NOMBREINVEQUIPO;ROLINVEQUIPO;SEXOINVEQUIPO;INSTITUCIONEQUIPO
FONDECYT;FONDECYT REGULAR 2016;1160099;2015;2016;JAIME SAPAG MUNOZ DE LA PENA;HOMBRE;RUBEN VLADIMIR ALVARADO MUNOZ;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160099;2015;2016;JAIME SAPAG MUNOZ DE LA PENA;HOMBRE;MARCELA PAZ EMMA ARACENA ALVAREZ;COINVESTIGADOR(A);MUJER;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160099;2015;2016;JAIME SAPAG MUNOZ DE LA PENA;HOMBRE;PAULINA FABIOLA BRAVO VALENZUELA;COINVESTIGADOR(A);MUJER;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160099;2015;2016;JAIME SAPAG MUNOZ DE LA PENA;HOMBRE;FRANCO SEBASTIAN MASCAYANO TAPIA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160099;2015;2016;JAIME SAPAG MUNOZ DE LA PENA;HOMBRE;FERNANDO CRISTIAN POBLETE ARRUE;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160099;2015;2016;JAIME SAPAG MUNOZ DE LA PENA;HOMBRE;LUIS ANTONIO VILLARROEL DEL PINO;COINVESTIGADOR(A);HOMBRE;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
FONDECYT;FONDECYT REGULAR 2016;1160100;2015;2016;DAVID CONTRERAS PEREZ;HOMBRE;DAVID CONTRERAS PEREZ;INVESTIGADOR(A) RESPONSABLE;HOMBRE;UNIVERSIDAD DE CONCEPCION
FONDECYT;FONDECYT REGULAR 2016;1160100;2015;2016;DAVID CONTRERAS PEREZ;HOMBRE;JUANITA FREER;COINVESTIGADOR(A);MUJER;UNIVERSIDAD DE CONCEPCION
FONDECYT;FONDECYT REGULAR 2016;1160100;2015;2016;DAVID CONTRERAS PEREZ;HOMBRE;VICTORIA ALEJANDRA MELIN COLOMA;COINVESTIGADOR(A);MUJER;UNIVERSIDAD DE CONCEPCION
FONDECYT;FONDECYT REGULAR 2016;1160100;2015;2016;DAVID CONTRERAS PEREZ;HOMBRE;HECTOR  MANSILLA;COINVESTIGADOR(A);HOMBRE;UNIVERSIDAD DE CONCEPCION
