PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
FONDECYT;FONDECYT REGULAR 2016;1160741;2015;2016;EMMA HERNANDEZ RIOS;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160741;2015;2016;EMMA HERNANDEZ RIOS;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160741;2015;2016;EMMA HERNANDEZ RIOS;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160741;2015;2016;EMMA HERNANDEZ RIOS;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160741;2015;2016;EMMA HERNANDEZ RIOS;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160742;2015;2016;PAULA VIDAL MOLINA;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160744;2015;2016;CALOGERO SANTORO VARGAS;HOMBRE;INSTITUCION SECUNDARIA;PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE;81698900-0;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160749;2015;2016;NANCY PIZARRO URZUA;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160749;2015;2016;NANCY PIZARRO URZUA;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD DE CHILE;60910000-1;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDECYT;FONDECYT REGULAR 2016;1160749;2015;2016;NANCY PIZARRO URZUA;MUJER;INSTITUCION SECUNDARIA;UNIVERSIDAD ANDRES BELLO;71540100-2;CHILE;REGION METROPOLITANA DE SANTIAGO
