PROGRAMA;CONCURSO;FOLIO;AGNOPOSTULACION;AGNOFALLO;RESPONSABLEPROYECTO;SEXO;ROLINSTITUCION;INSTITUCION1ERNIVEL;RUTINSTITUCION;PAISINSTITUCION;REGIONINSTITUCION
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160131;2016;2016;IVAN ALFARO CORTEZ;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION;70754700-6;CHILE;REGION DE VALPARAISO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160036;2016;2016;JORGE PAVEZ IRRAZABAL;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE SANTIAGO DE CHILE;60911000-7;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160124;2016;2016;ERICK SAAVEDRA FLORES;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE SANTIAGO DE CHILE;60911000-7;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160155;2016;2016;JUAN ESCRIG MURUA;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE SANTIAGO DE CHILE;60911000-7;CHILE;REGION METROPOLITANA DE SANTIAGO
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160063;2016;2016;WENDY GONZALEZ;MUJER;INSTITUCION PRINCIPAL;UNIVERSIDAD DE TALCA;70885500-6;CHILE;REGION DEL MAULE
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160007;2016;2016;ANDRES BERNASCONI RAMIREZ;HOMBRE;INSTITUCION ASOCIADA;UNIVERSIDAD DE TARAPACA;70770800-K;CHILE;REGION DE ARICA Y PARINACOTA
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160009;2016;2016;VERONICA LOPEZ LEIVA;MUJER;INSTITUCION ASOCIADA;UNIVERSIDAD DE TARAPACA;70770800-K;CHILE;REGION DE ARICA Y PARINACOTA
FONDEQUIP;V CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO;EQM160154;2016;2016;ANDRES CHAVEZ NAVARRETE;HOMBRE;INSTITUCION PRINCIPAL;UNIVERSIDAD DE VALPARAISO;60921000-1;CHILE;REGION DE VALPARAISO
PIA;SEGUNDO CONCURSO NACIONAL PARA CENTROS DE INVESTIGACION EN EDUCACION AÃ‘O 2016 MODALIDADES CENTRO DE INVESTIGACION AVANZADA EN EDUCACION Y CENTRO STEM DE EJECUCION REGIONAL;CIE160009;2016;2016;VERONICA LOPEZ LEIVA;MUJER;INSTITUCION ASOCIADA;UNIVERSIDAD TECNOLOGICA DE CHILE INACAP;72012000-3;CHILE;REGION METROPOLITANA DE SANTIAGO
REGIONAL;III CONCURSO FORTALECIMIENTO CENTROS REGIONALES MEDIANTE PROYECTOS DE I+D. CIENCIA-TERRITORIO;R17F10007;2017;2017;MAURICIO ORTIZ LIZANA;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE ESTUDIOS AVANZADOS EN FRUTICULTURA;65088704-2;CHILE;REGION DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
REGIONAL;III CONCURSO DE FORTALECIMIENTO A LA CONTINUIDAD DE CENTROS REGIONALES DE DESARROLLO CIENTIFICO Y TECNOLOGICO-2016;R16A10001;2016;2017;MOISES TORRES ROMERO;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE GENOMICA NUTRICIONAL AGROACUICOLA;65033643-7;CHILE;REGION DE LA ARAUCANIA
REGIONAL;III CONCURSO FORTALECIMIENTO CENTROS REGIONALES MEDIANTE PROYECTOS DE I+D. CIENCIA-TERRITORIO;R17F10010;2017;2017;MOISES TORRES ROMERO;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE GENOMICA NUTRICIONAL AGROACUICOLA;65033643-7;CHILE;REGION DE LA ARAUCANIA
PIA;CONCURSO ANILLOS DE INVESTIGACION EN CIENCIA Y TECNOLOGIA EN TOPICOS DE MINERIA 2017;ACM170005;2017;2017;LUIS CISTERNAS ARAPIO;HOMBRE;INSTITUCION ASOCIADA;CENTRO DE INFORMACION TECNOLOGICA;78158620-K;CHILE;REGION DE COQUIMBO
PIA;CONCURSO ANILLOS DE INVESTIGACION EN CIENCIA Y TECNOLOGIA EN TOPICOS DE MINERIA 2017;ACM170005;2017;2017;LUIS CISTERNAS ARAPIO;HOMBRE;INSTITUCION ASOCIADA;CENTRO DE INVESTIGACION CIENTIFICO TECNOLOGICO PARA LA MINERIA;65937660-1;CHILE;REGION DE ANTOFAGASTA
FONDEQUIP;VI CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2017;EQM170075;2017;2017;RODRIGO GARCIA ALVARADO;HOMBRE;INSTITUCION ASOCIADA;CENTRO DE INVESTIGACION DE POLIMEROS AVANZADOS;65053487-5;CHILE;REGION DEL BIO-BIO
REGIONAL;IV CONCURSO DE FORTALECIMIENTO Y DESARROLLO DE CENTROS REGIONALES DE DESARROLLO CIENTIFICO Y TECNOLOGICO - 2017;R17A10003;2017;2017;CLAUDIO TORO AEDO;HOMBRE;BENEFICIARIA PRINCIPAL;CENTRO DE INVESTIGACION DE POLIMEROS AVANZADOS;65053487-5;CHILE;REGION DEL BIO-BIO
FONDEQUIP;VI CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2017;EQM170060;2017;2017;CRISTIAN MATTAR BADER;HOMBRE;INSTITUCION ASOCIADA;CENTRO DE INVESTIGACION EN ECOSISTEMAS DE LA PATAGONIA(CORPOR.REGION.DE INVEST.Y DESARR.COOPERATIVO);65091146-6;CHILE;REGION AYSEN DEL GENERAL CARLOS IBAÃ±EZ DEL CAMPO
FONDEQUIP;VI CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO 2017;EQM170178;2017;2017;MARCELO GUTIERREZ ASTETE;HOMBRE;INSTITUCION ASOCIADA;CENTRO DE INVESTIGACION EN ECOSISTEMAS DE LA PATAGONIA(CORPOR.REGION.DE INVEST.Y DESARR.COOPERATIVO);65091146-6;CHILE;REGION AYSEN DEL GENERAL CARLOS IBAÃ±EZ DEL CAMPO
REGIONAL;IV CONCURSO DE FORTALECIMIENTO Y DESARROLLO DE CENTROS REGIONALES DE DESARROLLO CIENTIFICO Y TECNOLOGICO - 2017;R17A10002;2017;2017;ANA MOTRAN FERRANDIZ;MUJER;BENEFICIARIA PRINCIPAL;CENTRO DE INVESTIGACION EN ECOSISTEMAS DE LA PATAGONIA(CORPOR.REGION.DE INVEST.Y DESARR.COOPERATIVO);65091146-6;CHILE;REGION AYSEN DEL GENERAL CARLOS IBAÃ±EZ DEL CAMPO
REGIONAL;III CONCURSO FORTALECIMIENTO CENTROS REGIONALES MEDIANTE PROYECTOS DE I+D. CIENCIA-TERRITORIO;R17F10005;2017;2017;LUZ HERNANDEZ MORENO;MUJER;BENEFICIARIA PRINCIPAL;CENTRO DE INVESTIGACION EN ECOSISTEMAS DE LA PATAGONIA(CORPOR.REGION.DE INVEST.Y DESARR.COOPERATIVO);65091146-6;CHILE;REGION AYSEN DEL GENERAL CARLOS IBAÃ±EZ DEL CAMPO
